Question,temp_0_bias,temp_0_std,temp_0_rmse,temp_0_regression_bias,temp_0_regression_pval,temp_0_wasserstein,temp_0_kappa,temp_0_wilcoxon_pval,temp_4_bias,temp_4_std,temp_4_rmse,temp_4_regression_bias,temp_4_regression_pval,temp_4_wasserstein,temp_4_kappa,temp_4_wilcoxon_pval,temp_8_bias,temp_8_std,temp_8_rmse,temp_8_regression_bias,temp_8_regression_pval,temp_8_wasserstein,temp_8_kappa,temp_8_wilcoxon_pval,temp_12_bias,temp_12_std,temp_12_rmse,temp_12_regression_bias,temp_12_regression_pval,temp_12_wasserstein,temp_12_kappa,temp_12_wilcoxon_pval
Q1,-1.1081632653061224,2.285934294115168,2.538278381670762,-1.108163265306116,1.6713294497519432e-26,1.116326530612245,0.34844432463851127,1.9453598437297658e-22,-1.1979591836734693,2.3128510717575854,2.6025889778747433,-1.197959183673463,5.069927744718486e-30,1.2061224489795919,0.30368940019951973,9.87737204974959e-25,-1.1693877551020408,2.471490122996775,2.7318977481088944,-1.1693877551020337,2.5190987987501846e-25,1.193877551020408,0.26888946009131076,5.645913263388117e-22,-0.7040816326530612,2.503205240474714,2.597879826288494,-0.7040816326530539,6.347799629072332e-10,0.8428571428571427,0.28074551805870573,2.365494667611623e-09
Q2A,1.0459081836327346,2.7195382371926478,2.9111938960157913,1.0459081836327462,1.2536193776510647e-17,1.1976047904191618,0.5650780254249659,4.246748465083015e-18,1.1437125748502994,2.675687834785956,2.9074204739554355,1.1437125748503112,2.0908728573352517e-21,1.3313373253493013,0.5662901586877188,1.564258229634727e-21,1.5169660678642714,2.9782900424314462,3.339714451082676,1.516966067864284,1.037644971883904e-29,1.592814371257485,0.46977017972890656,4.3635139049282717e-26,1.998003992015968,3.1486498706563153,3.7264228886306205,1.9980039920159829,3.6048163748730114e-45,1.998003992015968,0.37570613423979304,7.398335912422696e-37
Q2B,-0.738,2.1805654614028276,2.3,-0.7379999999999924,5.707208022139969e-14,0.7379999999999999,0.4569903510572778,1.0124607253807414e-14,-0.896,2.1397057464433575,2.317757536930902,-0.8959999999999924,1.435511630496671e-20,0.8960000000000001,0.4236798492212597,3.2895207434073426e-21,-0.614,2.2313587617968778,2.3121418641597233,-0.6139999999999937,9.982338166872606e-10,0.6219999999999999,0.324571546395087,1.8266336798812788e-12,-0.974,2.3486925540450914,2.5404723970159564,-0.9739999999999931,3.3305594248463705e-20,0.9740000000000001,0.3887294361535757,9.077640808399616e-20
Q2C,0.16565656565656567,2.8271443660396045,2.8291412838598933,0.16565656565659514,0.19552839708378444,0.4444444444444445,0.5005920504808978,0.13582953883169135,0.20202020202020202,2.7850809813119524,2.7895910420379155,0.20202020202023263,0.10907305672358443,0.41212121212121205,0.5036508890988747,0.05993164942177023,0.2767676767676768,3.0802632873832176,3.089571903266623,0.27676767676770764,0.04715780657730476,0.5434343434343435,0.3273015411916804,0.08500145541121716,0.5555555555555556,2.728698219318099,2.7819766245232795,0.555555555555586,6.873179811131362e-06,0.6080808080808081,0.5187008810790713,5.180121473220611e-06
Q2D,-0.7325349301397206,2.440557182546118,2.545788271665909,-0.7325349301397104,2.5383200381639443e-11,0.7325349301397205,0.46946814960389815,3.408906484710129e-11,-0.7405189620758483,2.4414206786499784,2.548922515107894,-0.7405189620758379,1.5680284679069795e-11,0.7405189620758482,0.43678644437283765,1.541497220790653e-11,-0.7485029940119761,2.502123648921255,2.6092878786237703,-0.7485029940119658,2.9543364238410577e-11,0.7604790419161676,0.38233345537912933,8.286675616393048e-13,-0.5169660678642715,2.5389390652093855,2.588551487298487,-0.5169660678642627,6.024221868272214e-06,0.724550898203593,0.3551179118767702,1.0639198912624535e-06
Q2E,-0.9800796812749004,2.7270365119210993,2.895249578105817,-0.9800796812749013,1.2858045873133755e-15,0.9800796812749002,0.4636507022456219,1.3613370649146235e-14,-0.9402390438247012,2.7249886634988205,2.880073040242465,-0.9402390438247021,1.6327175122570515e-14,0.940239043824701,0.44412438597349657,5.4093439625409726e-14,-0.852589641434263,2.9218331658112517,3.0408899934379794,-0.852589641434264,8.465665413302671e-11,0.9482071713147409,0.3045522698079962,7.412189153536558e-13,-0.6852589641434262,2.820041942870748,2.8993748467543883,-0.6852589641434279,6.434645887575992e-08,0.7330677290836655,0.42422806052449047,2.0599339764220815e-07
Q2F,0.11512415349887133,2.908533500333129,2.9075289516987,0.11512415349887384,0.40853257500410567,0.44469525959367945,0.3970953619477442,0.35175263502271914,0.006772009029345372,2.9822171608568095,2.978857023219737,0.006772009029346826,0.9621823163633256,0.5169300225733634,0.34643331768315866,0.993084579122681,0.020316027088036117,2.8343470106576576,2.8312190580034255,0.020316027088036925,0.8810276129113755,0.855530474040632,0.3402144658548666,0.8673464004155845,0.1309255079006772,2.9004627187961156,2.9001439989157354,0.13092550790068191,0.34592013468643745,0.8623024830699775,0.3471007888816108,0.4457191434615122
Q2G,0.25949367088607594,3.38604344764605,3.3924089993049775,0.2594936708860782,0.0976994928638851,0.748945147679325,0.2933331438444632,0.15689875947849125,0.12236286919831224,3.3445240826620366,3.3432342409519284,0.1223628691983123,0.4291630824574755,0.751054852320675,0.29893988908114233,0.6925067645446966,0.4388185654008439,3.41391436422339,3.4384276653910555,0.43881856540084474,0.005474294489804264,1.1476793248945147,0.14116941843344255,0.05137154243171724,0.17088607594936708,3.441187607774202,3.441800627750166,0.17088607594935823,0.28321169040214245,1.00210970464135,0.21512116549129434,0.7552110871526321
Q2H,-0.5238095238095238,2.440429143613594,2.4936427106251546,-0.5238095238095206,1.709835546209803e-06,0.5238095238095237,0.6753944088963127,2.677419223456637e-07,-0.42063492063492064,2.392344232773014,2.4267032964268394,-0.42063492063491825,8.864603929063226e-05,0.4404761904761905,0.665672538459888,1.5120802890808489e-05,-0.21031746031746032,2.6699514702130713,2.675580340548599,-0.2103174603174578,0.07907280169531919,0.4206349206349207,0.5274639835353304,0.0019673945395387894,-0.2638888888888889,2.6393198931853963,2.6498727133251885,-0.26388888888888795,0.025815898450151555,0.4742063492063493,0.5648498735284013,0.0031918525907725422
Q2I,1.29,3.073237637924916,3.3301651610693423,1.2900000000000111,1.1638671622514589e-20,1.4700000000000002,0.5148330710777863,9.565828373065747e-19,1.3,3.0758611548129697,3.336465195382682,1.3000000000000123,6.33992018378011e-21,1.528,0.5076678564251201,5.20305973228002e-19,1.48,3.32320438353549,3.63483149540663,1.4800000000000093,4.6754401133160963e-23,1.6999999999999997,0.38429338578614347,6.350930496682258e-21,1.788,3.1557842048999154,3.624362012823774,1.7880000000000122,2.7203501517846697e-36,1.7960000000000003,0.4268456825632634,3.7142056868907835e-29
Q3A,0.06100217864923747,2.1748321919895384,2.173318096101203,0.061002178649254724,0.5509561830652595,0.20479302832244012,0.8018620876407716,0.6378007474430359,0.0,2.2555124128546677,2.253054087968495,1.687538997430238e-14,0.9999999999998731,0.2091503267973856,0.7866843414135596,0.7539558360872538,0.1437908496732026,2.7055295972462536,2.7064032841362433,0.1437908496732212,0.25851342778649733,0.5228758169934642,0.6594334771525991,0.7241813145411066,-0.058823529411764705,2.748326908557469,2.745961582195433,-0.05882352941174718,0.649081469175139,0.6209150326797386,0.6565912324136922,0.30872361622159095
Q3B,0.036637931034482756,2.4194929922331365,2.4171620578258923,0.03663793103449464,0.746154795256258,0.3125000000000001,0.7418415286774792,0.43101635042621156,-0.07543103448275862,2.492476763895627,2.4909318295188942,-0.07543103448274735,0.5176616621160655,0.3038793103448276,0.7216672097797017,0.859982225968462,0.10129310344827586,2.8551190146421055,2.8538389148170467,0.10129310344828779,0.44819917480505533,0.39870689655172425,0.6122594112652138,0.48907994560539103,0.18318965517241378,2.8388803497116863,2.841730288835089,0.1831896551724288,0.16775369850411703,0.42887931034482757,0.6081098747922897,0.16193940581852972
Q3C,-0.13043478260869565,2.5567349058978763,2.557415232379649,-0.13043478260870334,0.26569442813865785,0.3374741200828157,0.6337581200218622,0.44322125687127834,-0.06625258799171843,2.5531202605239036,2.5513362714833057,-0.06625258799172595,0.5712916113817839,0.28985507246376796,0.6270594528165931,0.7108498922826805,0.15113871635610765,2.867751325218152,2.8687651811530817,0.15113871635610154,0.2502130545980461,0.5569358178053829,0.45340851537391313,0.46595788414008266,0.004140786749482402,2.685442435721469,2.6826642299401566,0.004140786749475822,0.9731635332563393,0.4016563146997929,0.5852286876400763,0.9393365489759098
Q3D,0.961038961038961,2.4694658987204,2.647387015277141,0.96103896103897,1.0307890753294977e-16,0.961038961038961,0.7270372451846933,3.893159584505212e-16,1.0649350649350648,2.4654013449882224,2.683120235683485,1.064935064935073,3.1485428701125624e-20,1.0649350649350648,0.7052004490833006,2.760056156867473e-19,1.1796536796536796,3.1388990237880234,3.350066226650411,1.1796536796536894,1.0889144230315473e-15,1.2532467532467533,0.5031145184475323,8.999258388015051e-15,1.4675324675324675,2.9356855127089574,3.2792143500001267,1.4675324675324748,1.5159169104346363e-26,1.4675324675324675,0.531885489775057,5.121444948767997e-23
Q3E,0.5696465696465697,2.332700884488497,2.3988909426394844,0.5696465696465709,1.0573636424366777e-07,0.7733887733887732,0.7191123548049136,3.73731624720315e-07,0.4573804573804574,2.4037194699813225,2.4443919438281525,0.4573804573804594,3.432954752568672e-05,0.7525987525987526,0.7005975080871943,4.977144630081609e-05,0.6507276507276507,2.8178457512352724,2.8891509734164718,0.6507276507276529,4.964418982920306e-07,0.9126819126819128,0.5542964980744106,5.826965489266747e-07,0.9064449064449065,2.765407602864216,2.907442596720089,0.9064449064449098,9.59339863551233e-13,1.255717255717256,0.5667342495420875,2.272181140245527e-11
Q3F,0.37,2.4258750461388066,2.4515301344262523,0.3700000000000043,0.0007078506556874708,0.446,0.6518599598868526,0.00023692151054994975,0.468,2.4167451902567754,2.4592681838303037,0.4680000000000044,1.7105079825770935e-05,0.5840000000000001,0.6476991164051515,4.0241575734038396e-06,0.878,3.0518426379769235,3.172696014433151,0.8780000000000052,1.6826589030246275e-10,0.9380000000000001,0.4430693617107917,1.6261039290726171e-10,1.448,3.061051465125062,3.3834893231692043,1.448000000000006,8.357186182975775e-26,1.4480000000000002,0.44660641341014584,2.9188610386938482e-24
Q3G,-0.5627802690582959,2.887299641364842,2.93845693315081,-0.5627802690582866,4.4285591534897874e-05,0.594170403587444,0.5511572906567431,7.971730454558335e-05,-0.4798206278026906,2.894907728109856,2.9311991148881504,-0.4798206278026813,0.0005151696626428,0.5201793721973094,0.5567145450121982,0.00048041944528612573,-0.11434977578475336,3.385085649899756,3.3832215920343107,-0.11434977578474326,0.47908619701664157,0.6838565022421524,0.3934447716470071,0.3366324182719789,-0.020179372197309416,3.246716019545525,3.2431369412547078,-0.020179372197298928,0.8963890433763246,0.7556053811659191,0.45147937960806805,0.9680873773071905
Q3H,0.9037656903765691,2.670427074158943,2.816567839286929,0.9037656903765718,2.0600896518773423e-13,0.9748953974895399,0.6166474416810379,2.410905808658183e-12,0.9330543933054394,2.6815065622847256,2.8365516220584652,0.9330543933054423,4.301617809338863e-14,0.99581589958159,0.5983682950072292,3.951581025801765e-13,1.2196652719665273,2.804584127978484,3.055621063496259,1.2196652719665284,3.800185073045651e-21,1.3410041841004186,0.4998745767845614,1.39388926215911e-18,1.0669456066945606,2.786557181121519,2.9811120892551037,1.066945606694563,9.600545579531633e-17,1.0669456066945608,0.5580383902977327,4.188992691178045e-15
Q4A,0.15644820295983086,3.4800955912319753,3.47993341531887,0.15644820295984463,0.3318269701749942,0.3509513742071884,0.4097487796705732,0.20020589005997447,0.4249471458773784,3.436958161819668,3.459521285731172,0.4249471458773937,0.007607521748041984,0.6236786469344611,0.36408077458254384,0.005591880570987998,0.38477801268498946,3.5421105941529336,3.559224088187842,0.38477801268500267,0.019028515280660546,0.6934460887949261,0.2799906512615715,0.03537219114647514,0.6976744186046512,3.4116473734182775,3.478718142568237,0.697674418604664,1.0125966056137998e-05,0.8583509513742074,0.3602897708343672,1.1333718813010697e-05
Q4B,0.6986027944111777,3.2259848176815984,3.2976129998843082,0.6986027944111943,1.4857790417071623e-06,0.7984031936127742,0.5556846266068179,3.6766644349291103e-06,0.7285429141716567,3.192830041304217,3.27178709856911,0.728542914171673,3.946121356134729e-07,0.8283433133732534,0.5584819417794167,1.0795059310104223e-06,0.7045908183632734,3.5037920717753113,3.5705045853509243,0.7045908183632918,7.840223351550934e-06,0.9041916167664668,0.4287014800903469,3.59539202385386e-05,1.0818363273453093,3.2929150340021964,3.462949027644483,1.0818363273453242,2.8353517335626536e-13,1.1137724550898205,0.4577865428381719,6.138972544925542e-12
Q4C,0.09234234234234234,3.6646114246702677,3.6616468504837627,0.09234234234234662,0.5983628215702697,0.3626126126126127,0.436545821054355,0.5685914257215341,0.08558558558558559,3.5885281689426853,3.5855063597567156,0.08558558558558849,0.6180864522558899,0.3783783783783785,0.4406707840291535,0.51485654717555,0.6824324324324325,4.02649884406394,4.079447498361989,0.6824324324324342,0.0003956305532571334,0.9572072072072074,0.25956710378784176,0.00024063176524411143,0.9369369369369369,4.002886721964649,4.106685386642719,0.9369369369369362,9.931813248207807e-07,0.9819819819819819,0.28731208906541006,1.45589289668031e-06
Q4D,0.548828125,2.705643625883453,2.7581555204520285,0.5488281249999978,5.155489143574872e-06,0.748046875,0.5538089923740501,6.975527499700025e-06,0.60546875,2.7069182539308048,2.7712249096744204,0.6054687499999973,4.997038032266202e-07,0.84375,0.5203196242585053,9.629584598872618e-07,0.830078125,2.845746232212332,2.9616691872996213,0.8300781249999978,5.5682127915335146e-11,1.146484375,0.3887151435623192,1.4820775887777734e-09,0.908203125,2.783332256108904,2.92517360595914,0.9082031249999973,2.2565336199906972e-13,0.908203125,0.44696617800066074,1.4572842852382567e-11
Q4E,-0.2079207920792079,2.5170719938621318,2.52316004915728,-0.20792079207922498,0.06527413114655747,0.27524752475247527,0.45244076701292657,0.038525936554815364,-0.2079207920792079,2.438598477280792,2.445039431539332,-0.20792079207922498,0.057080302093962254,0.3188118811881189,0.4486359245649305,0.037881355459267796,-0.24752475247524752,2.5704592441959875,2.5798150213832107,-0.2475247524752664,0.03164101240883116,0.4811881188118813,0.3148439016927217,0.00781793997429222,-0.4277227722772277,2.5956357913019183,2.6281040110827627,-0.4277227722772441,0.0002357063459829924,0.6257425742574257,0.41032085797806306,8.450714609565198e-05
