,ID,GROUP,CONDITION,Q1,Q2A,Q2B,Q2C,Q2D,Q2E,Q2F,Q2G,Q2H,Q2I,Q3A,Q3B,Q3C,Q3D,Q3E,Q3F,Q3G,Q3H,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q4I,Q4J,Q5A,Q5B,Q5C,Q5D,Q5E,Q5F,Q5G,Q5H,Q5I,Q5J,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q6G,Q6H,Q6I,Q6J,T2Q1,T2Q2A,T2Q2B,T2Q2C,T2Q2D,T2Q2E,T2Q2F,T2Q2G,T2Q2H,T2Q2I,T2Q3A,T2Q3B,T2Q3C,T2Q3D,T2Q3E,T2Q3F,T2Q3G,T2Q3H,T2Q4A,T2Q4B,T2Q4C,T2Q4D,T2Q4E,T2Q4F,T2Q4G,T2Q4H,T2Q4I,T2Q4J,T2Q5A,T2Q5B,T2Q5C,T2Q5D,T2Q5E,T2Q5F,T2Q5G,T2Q5H,T2Q5I,T2Q5J,T2Q6A,T2Q6B,T2Q6C,T2Q6D,T2Q6E,T2Q6F,T2Q6G,T2Q6H,T2Q6I,RACE,AGEBRACKET,EDUCATION,PARTYBEFORE,GENDER,AGE
11,11,37,1,9,10,0,0,0,0,10,0,0,10,0,0,0,0,10,10,5,0,0,77,10,0,0,10,0,0,0,0,10,0,0,0,10,0,77,0,10,77,0,10,10,5,10,0,5,10,10,2,3,7,7,0,0,0,10,10,77,5,0,0,0,0,10,10,10,0,0,0,10,0,10,10,0,0,0,0,10,0,0,0,10,10,10,0,10,5,5,10,10,77,10,0,0,8,10,"White, non-Hispanic",45-59,Some college,Independent,Female,57
12,12,37,1,5,5,7,5,8,5,77,7,8,5,7,7,7,7,4,2,0,7,8,8,2,8,5,2,8,5,5,2,3,4,5,7,8,8,5,5,3,5,77,77,8,8,5,8,8,8,4,8,7,2,10,5,5,5,10,10,8,3,5,5,5,4,4,0,0,3,7,10,2,9,5,0,5,5,0,0,0,0,5,4,10,8,10,8,10,8,7,5,8,10,7,7,7,8,2,"White, non-Hispanic",60+,HS graduate or equivalent,Independent,Female,63
13,13,10,1,4,77,7,5,2,2,10,5,5,8,1,0,2,0,10,5,4,0,3,0,10,5,5,7,0,3,5,0,10,8,77,77,8,77,5,2,77,77,3,6,5,9,6,0,5,7,5,5,6,3,9,6,77,77,10,77,5,4,1,0,4,4,9,8,7,0,2,1,4,2,5,2,0,5,5,1,9,9,77,77,5,77,7,3,5,77,77,6,6,8,5,2,77,7,7,"White, non-Hispanic",60+,BA or above,Independent,Male,76
14,14,18,1,2,5,6,6,5,5,7,5,7,4,8,8,8,7,2,0,0,6,1,5,8,3,5,3,7,2,4,0,0,0,5,4,10,5,4,3,9,7,77,1,9,8,8,7,7,8,5,7,6,2,8,8,6,8,8,9,9,5,9,8,8,6,3,1,1,4,3,5,2,6,6,0,7,5,5,1,0,0,6,6,9,7,6,4,10,7,8,2,8,9,5,7,4,7,2,"White, non-Hispanic",60+,BA or above,Democrat,Female,62
15,15,34,1,4,5,7,7,7,7,4,8,10,0,7,5,5,6,5,0,0,6,3,7,5,6,10,6,4,10,10,6,2,5,7,6,10,10,10,8,6,8,6,3,77,5,3,77,8,5,2,6,7,2,10,6,7,6,10,0,10,0,7,5,6,3,5,0,4,2,5,5,4,5,5,2,2,7,1,1,6,7,5,5,10,4,5,2,6,6,7,5,5,6,5,6,8,8,4,Hispanic,18-29,BA or above,Democrat,Female,24
16,16,6,1,5,5,7,8,7,6,7,10,9,3,10,10,10,10,2,0,2,10,10,10,0,10,10,0,10,6,6,6,0,0,6,6,10,10,8,5,10,8,8,5,10,9,8,10,8,7,5,10,5,1,10,10,8,9,10,10,10,2,10,10,10,10,1,0,0,9,10,10,0,8,9,0,8,5,77,77,0,0,6,6,10,10,8,5,10,10,10,2,9,9,3,10,7,6,5,"White, non-Hispanic",45-59,BA or above,Democrat,Female,55
17,17,1,1,7,10,9,0,3,2,10,0,0,10,0,0,0,0,7,5,2,0,0,1,1,5,5,1,10,0,8,0,10,8,0,0,10,10,10,1,5,5,1,7,7,7,7,2,1,7,2,0,9,3,8,5,2,6,10,2,0,10,0,0,0,0,10,10,10,0,10,0,10,0,8,5,0,5,0,0,10,8,6,5,10,5,9,6,10,10,0,6,8,4,4,0,8,10,1,"White, non-Hispanic",45-59,BA or above,Republican,Male,49
18,18,28,1,3,7,5,5,77,77,77,5,77,9,77,77,77,5,8,0,77,5,77,77,77,9,5,77,10,5,77,0,77,77,10,77,10,77,5,77,77,4,4,6,9,6,6,77,10,77,5,10,3,5,9,6,7,7,9,9,8,4,4,5,5,5,7,0,77,8,6,8,5,7,9,0,5,1,5,0,4,1,6,6,10,5,5,0,5,3,5,5,10,77,6,77,10,8,2,"Black, non-Hispanic",60+,Some college,Democrat,Female,71
19,19,35,1,0,0,10,8,10,10,0,77,10,0,10,10,10,10,0,0,0,10,10,10,0,10,10,0,10,10,77,2,0,0,10,10,10,10,10,10,10,10,0,77,4,0,0,10,10,2,0,9,0,0,10,5,10,10,0,77,10,0,10,10,10,10,0,0,0,7,10,10,0,10,7,0,10,10,2,2,0,0,10,10,10,10,10,10,10,10,2,77,6,2,0,10,10,2,0,"White, non-Hispanic",18-29,Some college,Independent,Male,23
20,20,13,1,7,1,10,8,10,10,4,10,10,0,10,10,10,10,6,0,10,5,1,5,0,5,10,0,10,10,10,0,0,0,10,10,10,10,10,10,10,10,8,5,9,7,2,5,7,10,5,10,98,0,10,10,10,10,5,0,10,0,10,10,10,10,3,0,0,4,6,5,0,6,10,0,7,4,0,0,0,5,10,10,10,10,10,6,10,10,77,0,77,7,3,10,7,10,3,"Black, non-Hispanic",18-29,BA or above,Independent,Male,22
