,ID,GROUP,CONDITION,Q1,Q2A,Q2B,Q2C,Q2D,Q2E,Q2F,Q2G,Q2H,Q2I,Q3A,Q3B,Q3C,Q3D,Q3E,Q3F,Q3G,Q3H,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q4I,Q4J,Q5A,Q5B,Q5C,Q5D,Q5E,Q5F,Q5G,Q5H,Q5I,Q5J,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q6G,Q6H,Q6I,Q6J,T2Q1,T2Q2A,T2Q2B,T2Q2C,T2Q2D,T2Q2E,T2Q2F,T2Q2G,T2Q2H,T2Q2I,T2Q3A,T2Q3B,T2Q3C,T2Q3D,T2Q3E,T2Q3F,T2Q3G,T2Q3H,T2Q4A,T2Q4B,T2Q4C,T2Q4D,T2Q4E,T2Q4F,T2Q4G,T2Q4H,T2Q4I,T2Q4J,T2Q5A,T2Q5B,T2Q5C,T2Q5D,T2Q5E,T2Q5F,T2Q5G,T2Q5H,T2Q5I,T2Q5J,T2Q6A,T2Q6B,T2Q6C,T2Q6D,T2Q6E,T2Q6F,T2Q6G,T2Q6H,T2Q6I,RACE,AGEBRACKET,EDUCATION,PARTYBEFORE,GENDER,AGE
44,44,12,1,4,10,8,5,2,0,10,6,2,10,77,4,2,5,6,5,5,6,3,4,8,10,5,3,5,4,5,3,6,7,77,3,9,6,5,6,10,6,77,7,4,77,7,77,6,4,5,2,9,6,8,6,10,6,10,10,3,10,8,10,8,10,3,0,2,77,8,10,2,7,10,5,5,8,5,3,5,5,8,7,10,6,10,5,10,9,7,10,3,7,9,6,8,7,9,"White, non-Hispanic",45-59,Some college,Independent,Female,57
45,45,40,1,77,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,98,5,5,5,5,5,8,7,7,6,1,9,5,5,9,2,2,2,4,5,5,6,6,5,7,7,7,7,5,5,5,5,0,5,5,5,5,5,8,8,5,5,8,3,8,7,3,6,2,4,4,5,"White, non-Hispanic",45-59,HS graduate or equivalent,Republican,Male,57
46,46,22,1,9,4,6,4,7,7,3,7,8,8,6,8,7,7,9,7,7,7,6,7,7,6,5,0,4,7,7,8,5,7,6,6,7,6,6,7,8,9,8,9,8,6,8,9,8,3,1,5,7,0,10,6,10,4,9,8,10,0,8,6,7,5,3,0,4,8,5,4,7,8,10,3,4,7,0,0,3,6,7,0,6,9,7,10,10,8,7,8,9,6,2,0,9,5,6,"2+, non-Hispanic",18-29,Some college,Independent,Male,22
47,47,26,1,5,8,7,2,2,2,6,5,5,5,5,7,5,5,5,5,5,3,0,1,7,2,7,2,3,2,2,10,6,4,4,4,4,4,5,4,2,5,2,3,5,5,5,2,5,7,5,7,5,3,8,2,5,5,5,8,5,5,5,5,2,5,5,0,0,0,2,0,8,2,5,1,4,2,1,3,5,6,2,3,9,5,7,5,7,5,3,3,5,5,5,3,3,7,0,"White, non-Hispanic",18-29,Some college,Independent,Male,19
48,48,29,1,5,5,4,5,77,77,98,98,5,4,98,98,5,5,4,4,5,5,5,5,77,77,4,77,5,5,5,5,98,98,5,5,5,5,77,98,98,5,5,4,77,77,5,5,5,77,77,77,10,77,7,7,7,7,7,9,10,5,7,7,7,7,7,7,7,5,5,8,77,5,5,5,9,8,5,5,5,5,8,8,10,10,8,8,10,8,8,8,8,8,5,8,5,5,5,"Black, non-Hispanic",30-44,Some college,Democrat,Female,38
49,49,2,1,6,0,10,9,7,8,77,10,10,0,10,7,9,7,2,0,3,4,7,7,2,3,6,3,9,6,9,7,0,0,9,7,10,8,9,4,10,6,8,0,9,10,2,9,10,8,1,10,9,0,10,9,8,8,7,10,10,0,10,10,10,8,0,0,0,6,8,7,8,8,10,0,6,3,9,9,0,0,9,9,10,10,8,10,10,8,10,3,10,10,4,10,10,10,0,"White, non-Hispanic",45-59,BA or above,Independent,Female,52
50,50,22,1,98,5,2,2,5,2,1,5,5,9,10,10,5,5,8,8,5,5,5,9,5,10,7,0,5,5,5,5,2,2,9,9,10,9,8,8,8,7,8,5,9,9,3,10,10,9,5,10,6,6,5,5,6,4,6,5,5,5,8,9,8,5,5,5,3,5,5,5,5,4,7,6,6,4,3,2,4,5,5,5,7,6,7,5,7,8,7,5,5,6,5,7,8,8,5,"Asian, non-Hispanic",60+,BA or above,Independent,Male,63
51,51,30,1,9,10,8,5,3,6,10,8,10,10,5,7,7,3,4,2,0,7,0,4,3,9,6,7,5,3,2,0,8,8,4,7,10,5,7,3,10,7,5,9,10,10,7,3,0,10,8,5,6,5,7,7,7,9,10,8,10,8,5,7,8,4,8,7,4,7,3,0,2,7,8,4,2,3,0,0,5,7,3,8,10,8,9,3,10,7,7,7,9,10,8,5,2,9,7,"White, non-Hispanic",60+,BA or above,Independent,Male,70
52,52,19,1,5,5,8,8,5,5,5,77,8,3,77,77,77,77,77,77,77,77,8,8,77,10,10,1,10,10,10,5,77,77,8,8,10,5,5,77,8,8,77,77,77,77,8,77,8,5,5,2,8,5,10,1,9,6,8,5,10,5,5,5,8,8,2,2,2,9,7,9,77,8,10,3,10,2,1,1,1,1,5,7,10,8,10,8,8,8,5,8,10,10,8,5,10,2,5,"Black, non-Hispanic",60+,Some college,Democrat,Female,60
53,53,5,1,2,8,10,9,5,9,10,9,10,5,10,10,10,10,5,0,2,6,10,5,10,6,7,5,6,8,10,0,5,0,0,5,8,8,8,5,10,10,10,10,10,10,10,10,10,10,8,5,3,2,10,5,8,8,5,9,10,1,10,6,5,4,0,0,0,3,0,7,5,5,3,9,0,2,6,0,2,1,5,7,10,8,8,3,10,10,10,1,10,10,10,10,10,10,3,"White, non-Hispanic",60+,Some college,Independent,Male,64
54,54,9,1,5,5,6,3,6,5,8,5,6,7,3,2,5,3,9,5,3,2,6,0,5,5,5,77,0,0,0,0,10,6,3,3,5,2,2,0,5,10,77,5,5,7,5,77,5,10,5,5,7,2,7,5,5,1,5,8,8,2,5,5,7,2,5,3,1,4,6,3,10,5,6,1,3,2,1,0,6,6,5,5,7,1,1,1,9,9,5,3,6,8,6,77,5,7,5,"White, non-Hispanic",45-59,Some college,Republican,Female,49
55,55,30,1,3,9,10,5,7,5,10,8,3,10,0,0,3,0,7,5,5,0,3,2,8,5,5,3,3,4,3,1,10,7,7,6,9,4,8,3,8,4,3,8,8,8,7,0,3,7,8,7,4,5,10,5,7,3,10,7,3,5,0,1,1,0,9,7,5,1,1,0,0,1,9,5,2,1,0,0,9,10,5,5,10,4,4,2,7,8,2,8,8,8,8,0,4,8,6,Hispanic,60+,BA or above,Independent,Male,62
56,56,14,1,4,3,77,7,10,10,10,10,10,77,10,0,8,10,8,0,77,10,0,10,5,10,10,0,10,10,0,0,4,5,7,7,10,10,10,0,10,0,77,77,10,10,10,10,10,77,7,8,5,0,10,10,10,10,4,1,10,9,10,7,9,10,10,3,9,7,10,10,7,10,10,98,0,5,5,0,10,5,9,5,10,10,3,8,10,6,9,10,10,9,6,77,10,9,8,"Black, non-Hispanic",45-59,BA or above,Democrat,Female,49
57,57,37,1,7,7,5,2,2,3,7,3,2,8,5,6,6,4,6,5,5,4,5,3,6,4,5,5,5,5,4,4,8,5,5,5,7,6,6,6,6,6,4,6,6,6,4,5,6,4,7,4,6,4,8,4,6,6,10,2,3,8,5,6,3,6,4,1,6,5,6,1,9,4,6,4,3,3,0,0,6,6,5,6,9,6,8,6,6,7,6,6,7,7,6,5,5,5,6,"White, non-Hispanic",45-59,Some college,Democrat,Female,58
58,58,21,1,2,0,10,10,10,10,10,5,10,0,10,10,8,10,0,0,0,10,10,10,0,10,10,0,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,2,10,10,2,10,10,5,0,10,8,0,10,10,10,10,10,10,10,0,10,10,10,10,0,0,0,10,10,10,0,10,10,0,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,5,10,10,8,0,"White, non-Hispanic",60+,BA or above,Democrat,Female,67
59,59,11,1,0,10,10,0,10,10,10,0,10,10,0,0,5,5,10,10,10,5,0,10,10,7,10,10,0,0,0,0,10,10,0,0,10,8,10,0,10,10,0,10,10,10,10,0,0,10,10,10,9,5,10,10,7,10,10,3,5,10,0,4,5,5,10,2,5,5,5,10,5,10,10,5,7,1,0,0,10,10,7,10,10,10,10,7,10,10,1,10,10,8,10,0,1,10,7,Hispanic,45-59,BA or above,Republican,Female,47
60,60,38,1,2,0,10,10,6,9,7,9,10,5,10,10,10,10,5,2,3,8,3,10,0,10,7,0,8,7,8,3,0,0,8,7,10,10,10,4,10,4,10,2,4,7,7,10,10,7,3,8,4,2,9,10,6,5,9,5,10,3,10,10,10,6,4,1,3,7,8,9,1,7,8,0,5,3,1,1,1,0,8,8,10,3,9,2,9,7,10,2,4,6,8,10,10,8,2,"White, non-Hispanic",60+,BA or above,Independent,Male,73
61,61,37,1,6,3,8,7,8,8,9,5,8,3,10,10,8,8,7,5,3,5,1,4,5,7,6,6,8,6,8,4,3,3,6,6,7,7,8,7,8,6,8,5,10,9,6,8,8,7,7,8,8,2,9,6,8,8,8,8,8,4,9,7,7,5,2,2,6,5,6,6,4,5,9,2,6,6,3,3,2,2,5,6,9,8,8,5,9,6,10,2,9,9,8,9,9,6,2,"Asian, non-Hispanic",30-44,BA or above,Republican,Male,37
62,62,9,1,5,5,5,5,5,6,5,5,6,3,7,77,5,77,4,4,77,77,4,3,77,3,77,77,77,5,77,77,77,77,6,6,6,7,77,7,7,77,77,77,77,77,77,77,5,77,77,77,7,3,10,8,8,8,0,8,10,0,8,8,7,8,0,0,0,5,5,5,77,2,5,0,0,5,0,0,5,5,5,7,8,5,5,2,8,7,5,5,77,77,3,77,8,8,2,Hispanic,18-29,HS graduate or equivalent,Democrat,Female,27
63,63,7,1,8,7,4,7,5,5,7,7,4,5,3,3,2,2,5,2,2,0,6,1,2,4,5,5,4,3,3,1,9,77,77,77,8,6,6,5,7,77,1,6,3,4,4,4,8,4,4,5,7,4,7,6,6,3,4,5,2,4,3,5,4,0,6,5,0,0,2,0,9,6,6,7,4,4,2,2,4,5,5,2,8,6,7,2,8,7,1,5,3,2,5,5,10,4,3,"White, non-Hispanic",60+,Some college,Independent,Male,61
64,64,4,1,5,3,9,5,6,8,8,5,9,5,5,1,1,0,5,3,3,1,4,0,1,7,4,4,0,1,5,7,6,5,6,2,5,2,6,2,6,6,8,1,9,10,8,9,9,6,6,9,4,2,9,8,7,7,7,7,10,77,5,5,5,0,5,4,4,1,8,0,5,7,7,2,1,1,5,8,5,8,2,2,2,5,77,1,5,7,10,0,10,9,7,10,8,5,5,"White, non-Hispanic",60+,BA or above,Independent,Male,75
65,65,5,1,4,8,9,5,8,5,9,9,9,7,9,10,8,9,5,2,3,6,8,5,9,9,9,9,5,8,6,2,5,3,6,8,5,9,5,8,10,6,3,6,9,9,9,2,2,8,9,5,98,4,8,5,8,8,9,6,8,4,8,7,7,9,5,4,6,7,6,9,5,7,9,2,2,1,4,2,6,2,5,6,9,6,6,6,9,8,8,6,8,7,8,6,3,7,8,"White, non-Hispanic",60+,Some college,Republican,Male,71
66,66,20,1,5,10,6,0,0,0,10,7,0,5,0,0,0,0,10,5,0,0,0,5,0,5,5,5,5,0,5,0,10,10,5,5,10,10,5,0,10,10,0,10,10,0,0,0,0,0,0,0,0,5,10,0,5,5,10,8,5,10,0,0,0,0,10,10,10,0,0,0,10,0,10,5,5,0,0,0,10,0,5,5,10,10,5,0,10,10,0,5,5,10,0,0,10,0,5,"White, non-Hispanic",60+,Some college,Republican,Female,77
67,67,6,1,4,6,6,77,6,2,6,9,7,6,8,6,9,98,8,6,4,7,7,8,2,8,8,6,7,5,5,5,8,8,3,2,9,8,6,5,5,8,4,4,4,7,7,4,3,7,8,8,6,2,9,6,7,4,6,1,8,1,7,9,9,7,6,3,5,8,4,7,1,6,8,5,6,5,3,3,6,7,6,6,9,5,9,4,10,9,8,2,5,8,6,5,4,6,5,"White, non-Hispanic",45-59,BA or above,Independent,Male,59
68,68,18,1,5,2,5,4,5,5,10,7,10,5,9,9,6,77,10,0,3,8,6,10,0,10,7,5,5,5,5,4,1,5,5,5,10,5,5,5,5,8,10,5,8,10,5,9,6,8,8,10,7,5,10,5,9,8,8,5,10,6,10,10,10,10,10,0,2,2,0,10,77,10,10,0,4,4,1,0,5,6,5,7,10,10,9,5,10,10,10,1,7,10,9,9,10,9,9,"Black, non-Hispanic",45-59,BA or above,Democrat,Female,56
69,69,8,1,9,6,6,6,5,5,8,9,5,4,9,8,8,8,5,5,8,5,4,6,2,8,3,5,3,1,2,0,5,3,2,1,8,6,6,1,8,5,8,5,6,8,3,9,5,5,2,9,5,4,9,5,7,3,5,3,8,2,10,9,7,6,6,6,6,6,3,6,2,8,3,4,0,0,0,0,3,0,3,2,10,4,6,0,10,6,9,3,8,9,6,9,77,5,5,"White, non-Hispanic",60+,BA or above,Republican,Female,62
70,70,9,1,7,2,6,6,8,7,77,7,10,4,10,10,10,10,0,0,0,8,77,8,5,8,10,0,3,10,10,0,0,5,5,6,10,5,7,7,10,10,5,3,8,10,77,10,6,9,5,10,7,0,10,10,8,8,9,10,10,5,10,10,10,8,0,0,0,7,10,9,6,10,10,0,0,10,0,0,0,0,4,8,10,5,8,5,10,10,10,0,10,10,8,10,10,8,1,"Asian, non-Hispanic",30-44,Some college,Democrat,Female,36
71,71,23,1,3,3,9,10,5,77,10,5,10,0,10,10,10,10,3,0,0,77,10,10,0,5,10,0,10,10,77,0,0,0,9,10,10,10,10,10,9,7,5,5,10,10,5,10,10,10,77,10,4,3,10,10,8,8,8,0,10,0,10,10,9,10,3,0,0,10,8,9,2,9,8,0,9,10,4,0,0,0,7,10,10,10,10,6,10,8,10,0,10,10,10,10,9,7,5,"White, non-Hispanic",60+,BA or above,Democrat,Female,62
72,72,34,1,6,5,7,6,7,6,7,7,7,2,8,7,8,6,2,0,0,5,5,6,3,8,6,1,9,6,5,2,3,2,5,5,8,7,6,5,8,6,8,4,6,7,5,8,6,6,5,6,7,4,7,7,7,7,9,3,9,3,10,9,9,8,2,0,1,7,7,7,5,7,5,2,9,8,5,3,3,1,7,6,9,7,8,3,9,8,9,2,8,9,6,9,9,9,6,"White, non-Hispanic",60+,Some college,Democrat,Female,79
73,73,16,1,4,5,8,5,5,5,10,5,7,4,8,7,5,5,8,7,8,5,5,5,5,9,9,5,8,5,5,5,2,3,8,7,10,3,5,5,9,7,5,5,8,5,5,5,8,9,9,6,4,5,10,5,8,8,10,8,10,5,10,9,9,9,6,3,8,8,8,8,2,3,9,1,8,5,3,3,0,0,9,9,10,5,9,9,10,9,10,10,10,10,7,9,10,7,8,"Black, non-Hispanic",45-59,BA or above,Democrat,Female,50
74,74,28,1,5,7,5,0,3,2,10,1,5,10,5,5,2,4,8,1,3,5,7,5,5,8,7,8,0,2,77,1,10,5,5,5,10,5,8,8,1,5,77,6,7,5,2,0,0,2,7,3,7,3,8,0,7,8,10,8,8,9,5,77,3,7,5,1,5,2,5,9,8,7,5,1,0,2,0,0,3,5,7,8,10,4,5,0,10,5,5,8,7,5,7,77,3,3,8,"White, non-Hispanic",30-44,BA or above,Republican,Female,33
75,75,32,1,3,10,5,6,8,0,10,10,0,10,4,2,0,6,0,0,0,5,2,6,0,10,7,3,8,3,0,0,10,8,2,0,4,5,10,0,10,10,0,9,8,0,10,0,7,3,8,10,10,10,6,7,5,8,10,0,0,10,0,0,98,3,1,0,0,4,10,6,2,6,10,0,3,2,0,0,8,8,6,8,8,8,9,0,5,10,8,8,8,4,8,0,5,3,98,"White, non-Hispanic",60+,Some college,Democrat,Male,87
76,76,33,1,3,10,10,7,10,0,10,5,0,10,0,0,0,0,10,8,10,0,10,5,4,10,0,7,3,0,0,0,10,2,0,5,8,5,5,0,10,10,2,10,10,10,10,0,2,8,10,10,7,5,10,5,10,3,7,7,2,9,0,0,3,0,5,5,7,0,10,7,1,8,5,7,1,2,2,0,9,8,5,7,10,8,8,2,10,9,5,8,8,8,6,4,4,6,6,"White, non-Hispanic",60+,BA or above,Independent,Male,69
77,77,3,1,2,10,5,6,3,2,5,2,5,10,1,5,2,3,2,3,7,5,5,1,8,1,8,9,0,3,3,3,10,8,1,8,10,7,5,7,6,6,5,5,1,5,2,4,8,6,2,6,5,9,8,6,6,4,3,0,1,9,0,0,0,1,1,0,7,3,6,1,10,0,9,8,0,1,1,0,10,2,0,8,10,10,10,8,10,10,77,2,8,5,2,8,9,9,0,"White, non-Hispanic",45-59,BA or above,Republican,Male,45
78,78,32,1,5,6,6,7,7,8,6,8,6,7,8,7,7,7,8,7,7,4,6,7,6,6,8,8,9,10,8,5,0,0,10,7,10,10,10,8,10,10,8,7,10,9,6,5,8,6,6,6,5,7,6,5,7,5,10,7,5,8,10,7,7,8,8,8,5,4,5,5,5,6,8,0,5,8,3,4,0,0,5,5,10,10,10,8,8,6,6,5,10,10,8,5,10,8,7,"Black, non-Hispanic",30-44,BA or above,Democrat,Male,44
79,79,4,1,3,5,9,5,8,5,9,10,9,5,10,10,9,10,3,0,0,7,7,10,1,10,8,0,8,7,6,4,5,5,8,10,10,9,9,10,10,7,5,6,8,6,6,6,10,7,8,5,4,2,9,8,10,6,9,8,10,1,10,10,10,10,2,0,0,6,9,9,2,9,10,0,7,8,2,0,5,1,8,8,10,8,9,8,10,10,7,7,7,9,7,9,9,7,8,"White, non-Hispanic",60+,Some college,Democrat,Female,64
80,80,6,1,8,5,7,5,9,5,8,5,77,5,0,77,2,8,5,2,8,0,8,0,77,2,77,77,0,0,77,0,10,77,0,77,77,77,8,2,8,9,77,10,5,8,8,0,0,5,9,5,9,5,10,5,10,8,5,10,9,5,5,3,2,5,5,0,5,0,7,7,5,5,10,3,3,5,0,0,9,8,77,77,10,9,9,9,8,10,7,5,5,7,7,5,0,5,77,"White, non-Hispanic",45-59,Some college,Republican,Female,59
81,81,22,1,9,10,10,5,5,5,10,5,5,10,5,0,0,0,10,10,10,0,0,0,5,5,10,10,0,0,0,0,6,5,0,4,10,5,0,0,5,10,0,7,5,5,7,0,0,5,10,5,7,5,10,5,5,5,10,5,5,8,0,0,0,0,10,5,5,0,8,8,2,8,9,5,0,0,0,0,4,0,0,10,10,8,8,8,10,10,0,8,8,6,6,0,0,5,10,"White, non-Hispanic",60+,BA or above,Independent,Female,65
82,82,18,1,4,4,6,6,6,7,77,6,10,2,10,10,10,10,1,0,1,9,77,10,6,10,6,3,6,6,9,5,9,5,6,8,10,8,10,77,6,10,6,5,7,7,3,6,10,5,4,6,8,9,10,7,8,8,3,8,10,0,10,10,9,8,0,0,2,8,6,9,10,8,9,4,5,7,6,5,4,7,7,7,10,10,9,5,10,10,10,4,8,8,3,8,9,9,3,"Asian, non-Hispanic",18-29,BA or above,Democrat,Female,29
83,83,5,1,7,0,10,8,5,8,8,10,10,0,10,10,10,7,2,0,0,5,5,8,2,8,5,1,10,10,5,0,0,0,7,7,10,10,7,5,10,10,8,5,8,10,5,8,8,9,4,8,9,0,10,9,9,9,8,10,10,0,10,9,9,8,2,1,1,8,8,2,2,10,9,0,10,10,3,0,0,0,8,8,10,8,8,8,10,8,8,2,7,10,8,10,10,8,3,"White, non-Hispanic",60+,BA or above,Democrat,Male,79
84,84,2,1,6,3,7,8,8,6,8,9,6,8,3,8,7,8,6,8,9,7,6,6,9,8,7,6,9,7,8,8,2,2,8,6,8,7,8,7,98,8,7,7,7,8,7,6,8,7,7,8,3,0,10,5,5,10,5,10,10,0,10,10,10,10,0,0,0,10,0,10,10,10,10,0,5,0,0,10,0,0,77,10,10,10,10,77,10,10,10,0,10,10,0,10,10,5,0,"2+, non-Hispanic",18-29,No HS diploma,Independent,Male,27
85,85,10,1,5,7,7,3,6,6,7,7,5,6,6,8,7,77,5,4,77,5,5,4,3,4,6,4,6,3,2,0,4,4,6,6,8,6,5,1,8,10,4,5,5,6,77,77,5,5,6,77,7,3,10,6,9,9,9,8,8,0,9,9,9,8,6,4,7,5,9,10,0,8,6,0,2,4,0,0,2,2,2,5,10,8,8,8,10,10,7,7,5,9,4,6,8,4,4,"White, non-Hispanic",30-44,HS graduate or equivalent,Republican,Female,36
86,86,37,1,8,5,6,5,5,5,5,5,5,6,98,5,6,6,6,6,5,6,5,5,6,6,6,6,5,5,6,0,10,7,3,5,5,5,5,5,5,9,6,6,5,7,5,5,5,6,6,6,5,5,7,4,7,6,5,2,5,6,5,4,2,2,8,6,7,8,3,5,5,8,8,5,7,0,98,0,9,9,2,4,5,3,5,7,6,6,5,7,5,9,8,5,5,5,7,"White, non-Hispanic",60+,BA or above,Independent,Male,67
87,87,34,1,5,10,0,0,0,0,10,5,4,8,5,5,3,3,4,1,77,4,6,8,5,10,4,6,1,3,0,1,10,6,0,5,8,5,6,5,8,2,5,7,6,77,3,6,2,7,3,1,6,9,1,0,2,0,3,2,5,10,5,1,0,0,7,0,5,3,6,0,10,0,0,5,0,3,0,0,5,0,0,6,10,7,5,2,5,8,6,5,6,3,3,7,3,3,3,"White, non-Hispanic",45-59,Some college,Republican,Female,49
88,88,5,1,2,8,8,5,8,6,10,5,8,6,4,2,4,0,8,4,4,4,5,6,5,10,10,5,5,4,5,0,10,8,5,8,8,2,2,10,8,8,4,10,10,8,8,8,0,5,10,4,7,6,10,2,7,7,10,7,9,0,6,4,6,0,6,5,5,5,8,8,1,8,5,7,5,5,0,0,2,8,4,6,7,6,3,2,10,10,7,8,8,8,8,6,8,5,7,"White, non-Hispanic",60+,BA or above,Republican,Female,64
89,89,29,1,2,5,8,5,6,5,9,5,0,10,0,0,0,0,9,6,1,0,6,0,5,6,0,1,1,0,0,0,8,5,0,5,10,0,5,5,5,5,0,6,6,5,6,0,5,8,8,0,8,4,8,7,9,9,10,7,8,3,2,8,5,6,8,7,8,4,7,7,8,5,8,8,5,1,1,0,8,8,7,7,8,9,9,7,9,8,8,8,8,7,8,1,9,9,8,"White, non-Hispanic",60+,HS graduate or equivalent,Republican,Male,61
90,90,32,1,2,5,8,5,2,5,10,5,4,8,10,7,6,8,2,0,0,6,0,8,2,10,5,3,7,3,2,0,1,5,8,4,10,7,8,6,7,6,5,3,8,10,5,10,10,7,77,9,6,5,8,2,9,3,10,5,8,7,10,9,8,9,1,0,3,7,8,7,1,10,9,1,6,7,6,1,0,6,8,9,10,8,9,2,10,7,8,0,7,9,6,9,8,9,4,"White, non-Hispanic",45-59,BA or above,Democrat,Male,46
91,91,32,1,7,8,8,0,2,0,10,7,5,8,0,0,2,5,5,5,7,0,7,7,2,8,5,2,0,0,0,0,10,7,0,0,5,10,5,5,10,10,0,7,5,0,2,5,5,2,0,2,7,10,10,0,0,0,10,8,5,10,0,2,2,8,8,8,8,0,5,8,0,8,5,2,0,0,0,0,8,8,2,2,10,10,5,2,10,10,0,8,2,0,2,0,5,5,0,"White, non-Hispanic",18-29,Some college,Independent,Male,23
92,92,26,1,0,0,0,0,10,10,0,10,10,0,0,0,0,0,10,10,10,0,0,0,10,0,10,10,0,0,0,0,10,10,0,0,10,10,10,0,10,10,0,0,0,0,0,10,10,0,0,0,5,10,0,0,10,10,0,10,5,0,0,0,0,0,10,10,5,0,0,0,10,0,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,10,5,0,0,0,0,10,10,0,0,"Other, non-Hispanic",30-44,BA or above,Independent,Male,42
93,93,39,1,5,4,77,7,7,5,6,8,5,7,8,5,4,8,5,0,5,4,77,4,77,3,6,10,0,6,9,1,5,3,6,6,10,10,10,5,77,77,8,0,77,7,2,77,8,5,4,4,7,4,9,9,10,7,8,8,9,5,7,6,3,2,0,0,0,1,5,4,5,6,10,2,0,6,6,0,6,8,6,10,10,8,5,6,8,6,8,4,5,5,6,5,7,7,6,"White, non-Hispanic",18-29,Some college,Independent,Male,23
94,94,3,1,9,5,10,10,5,0,5,0,10,5,77,77,77,77,77,8,77,0,77,10,77,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,10,77,77,10,10,10,77,10,77,10,10,8,8,8,10,9,9,10,10,10,10,77,77,77,8,10,8,8,77,0,8,7,8,10,3,5,10,0,0,7,3,7,8,10,10,10,77,10,10,77,77,77,77,77,77,77,77,77,"Black, non-Hispanic",30-44,Some college,Democrat,Female,32
95,95,37,1,4,4,8,8,8,8,5,8,9,5,10,10,10,10,5,0,0,10,0,7,5,7,7,1,10,5,4,4,3,1,8,9,10,10,10,8,5,5,7,5,7,8,5,10,10,10,3,10,7,3,10,7,10,10,10,10,10,0,10,10,0,10,0,0,0,10,0,8,0,10,10,0,10,9,0,0,0,0,7,10,10,8,9,1,10,10,10,5,8,10,9,10,10,10,8,"White, non-Hispanic",45-59,HS graduate or equivalent,Democrat,Female,59
96,96,9,1,5,2,5,2,6,5,8,3,5,5,7,7,8,7,5,5,3,3,4,6,5,7,4,4,2,3,6,0,77,77,5,77,10,5,5,77,5,77,77,77,5,6,77,7,8,10,5,7,5,1,8,6,6,9,8,7,10,1,9,9,8,7,4,3,5,5,6,4,4,6,9,3,2,7,2,1,4,6,4,4,7,6,7,2,10,8,7,4,3,6,5,8,5,6,5,"White, non-Hispanic",18-29,Some college,Republican,Male,28
97,97,21,1,5,3,6,3,6,3,7,4,7,3,8,3,6,3,7,2,6,3,7,7,7,7,7,7,10,10,8,0,5,6,6,6,6,6,7,7,7,7,10,5,5,5,5,5,5,5,5,5,5,8,4,7,4,7,5,3,6,4,8,4,7,4,6,4,7,4,5,7,4,7,4,7,4,10,8,4,5,7,3,8,5,8,5,8,5,3,9,5,7,5,8,5,7,5,4,"Black, non-Hispanic",18-29,Some college,Democrat,Female,21
98,98,3,1,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,0,5,6,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6,5,6,6,6,4,6,8,6,6,3,5,4,7,8,5,4,7,7,3,8,7,0,7,6,3,2,0,2,6,8,6,7,7,5,4,3,5,5,5,5,5,5,5,5,5,"Black, non-Hispanic",30-44,No HS diploma,Independent,Female,44
99,99,3,1,2,9,7,6,2,2,6,6,6,8,77,6,5,6,7,6,5,4,8,8,77,8,8,2,7,8,77,2,3,5,8,8,9,8,8,7,5,5,5,8,8,7,6,6,2,8,7,7,3,4,7,6,9,8,7,6,8,4,7,2,6,7,8,7,8,2,8,4,7,7,8,4,2,8,1,1,5,8,6,6,10,5,8,5,9,9,6,9,8,8,7,8,3,8,5,"2+, non-Hispanic",45-59,Some college,Republican,Male,56
100,100,27,1,6,10,8,77,3,4,6,4,7,10,4,6,6,6,6,5,6,7,7,6,3,9,8,6,9,1,9,77,77,6,6,8,8,7,7,7,4,9,4,8,6,5,6,77,7,7,6,4,8,3,9,8,5,8,8,10,3,3,6,2,8,5,5,2,5,8,7,3,77,3,8,8,4,2,2,2,10,6,77,8,10,5,7,2,9,8,7,3,5,8,4,7,3,7,3,"White, non-Hispanic",60+,Some college,Republican,Female,79
101,101,38,1,4,10,5,0,0,0,10,5,0,10,0,0,7,0,10,10,10,0,3,0,10,0,5,10,0,0,0,0,10,10,0,0,5,0,0,0,77,5,77,3,5,5,5,0,5,7,10,5,8,6,6,2,5,6,7,8,5,8,2,2,7,0,7,5,7,1,5,0,10,0,7,2,0,0,0,0,9,9,2,2,7,7,9,1,8,5,5,7,5,7,5,2,5,1,5,"White, non-Hispanic",45-59,BA or above,Republican,Male,54
