,index_human,Question,Variable,Effect_Size_human,P_Value_human,Significant_human,Lower_CI_human,Upper_CI_human,Marginal_R2_human,Conditional_R2_human,Group_Variance_Prop_human,Demographic_Trust_human,index_llm,Effect_Size_llm,P_Value_llm,Significant_llm,Lower_CI_llm,Upper_CI_llm,Marginal_R2_llm,Conditional_R2_llm,Group_Variance_Prop_llm,Demographic_Trust_llm
0,0,Q1,Intercept,-0.8930171752213477,0.28361413664058,False,-2.5253834040695935,0.739349053626898,0.05489002286744283,0.1136600156015866,0.05876999273414376,Low/Moderate,0,-0.9322154912962931,0.0573184122090457,False,-1.8934091368630286,0.02897815427044248,0.05313776267679525,0.053137762874141875,1.973466265615342e-10,Low/Moderate
1,1,Q1,C(RACE)[T.Asian_non_Hispanic],0.331625335093228,0.6992547571924894,False,-1.3508205784662426,2.014071248652699,0.05489002286744283,0.1136600156015866,0.05876999273414376,Low/Moderate,1,0.34228085545169484,0.505701458231223,False,-0.6657010847752073,1.350262795678597,0.05313776267679525,0.053137762874141875,1.973466265615342e-10,Low/Moderate
2,2,Q1,C(RACE)[T.Black_non_Hispanic],0.891402724254989,0.2266011929558458,False,-0.5534983020754914,2.3363037505854694,0.05489002286744283,0.1136600156015866,0.05876999273414376,Low/Moderate,2,0.13103056499221943,0.7668763521255302,False,-0.7352326739550265,0.9972938039394653,0.05313776267679525,0.053137762874141875,1.973466265615342e-10,Low/Moderate
3,3,Q1,C(RACE)[T.Hispanic],-0.10695733078621934,0.88983476845491,False,-1.6204043010519615,1.406489639479523,0.05489002286744283,0.1136600156015866,0.05876999273414376,Low/Moderate,3,0.2321628270701544,0.6208663216252003,False,-0.6877920780483142,1.152117732188623,0.05313776267679525,0.053137762874141875,1.973466265615342e-10,Low/Moderate
4,4,Q1,C(RACE)[T.Other_non_Hispanic],5.05386450618183,0.0008993125093059745,True,2.0705528941060685,8.037176118257591,0.05489002286744283,0.1136600156015866,0.05876999273414376,Low/Moderate,4,2.098926388131345,0.02089466439374918,True,0.31796122535322113,3.879891550909469,0.05313776267679525,0.053137762874141875,1.973466265615342e-10,Low/Moderate
5,5,Q1,C(RACE)[T.White_non_Hispanic],-0.24372146291500596,0.8944724092111919,False,-3.844893009063635,3.3574500832336227,0.05489002286744283,0.1136600156015866,0.05876999273414376,Low/Moderate,5,0.18896157823893225,0.864060664594933,False,-1.9742499449418571,2.3521731014197216,0.05313776267679525,0.053137762874141875,1.973466265615342e-10,Low/Moderate
6,6,Q1,C(AGEBRACKET)[T.30_44],-0.723587574105456,0.08690654614693306,False,-1.5520046218247416,0.10482947361382966,0.05489002286744283,0.1136600156015866,0.05876999273414376,Low/Moderate,6,-0.20906775023945198,0.4060610788747252,False,-0.7022586067979383,0.28412310631903437,0.05313776267679525,0.053137762874141875,1.973466265615342e-10,Low/Moderate
7,7,Q1,C(AGEBRACKET)[T.45_59],-0.401348803318888,0.3454801116287999,False,-1.2351789340041686,0.43248132736639255,0.05489002286744283,0.1136600156015866,0.05876999273414376,Low/Moderate,7,-0.2639963626846935,0.30473373997110753,False,-0.7681430597418651,0.24015033437247812,0.05313776267679525,0.053137762874141875,1.973466265615342e-10,Low/Moderate
8,8,Q1,C(AGEBRACKET)[T.60plus],-0.7468133037297507,0.07979832438581339,False,-1.582342008934577,0.0887154014750755,0.05489002286744283,0.1136600156015866,0.05876999273414376,Low/Moderate,8,-0.5174272727818355,0.04150058262899919,True,-1.014921482175504,-0.019933063388167194,0.05313776267679525,0.053137762874141875,1.973466265615342e-10,Low/Moderate
9,9,Q1,C(EDUCATION)[T.HS_graduate_or_equivalent],0.5040390240376487,0.3366933062020614,False,-0.5242512338503076,1.532329281925605,0.05489002286744283,0.1136600156015866,0.05876999273414376,Low/Moderate,9,0.3169754344281801,0.3242487427166625,False,-0.313256738908832,0.9472076077651922,0.05313776267679525,0.053137762874141875,1.973466265615342e-10,Low/Moderate
